order_id,order_item_id,product_id,seller_id,customer_id,status,delivery_delay_days,item_price,freight_value,total_item_value,category_en,volume_cm3,score,comment_title,comment_message,sentiment_label,sentiment_score,topics_top3,complaint_reason,complaint_severity,expectation_mismatch,mismatch_reason,experience_summary
1bb89d713790b13c538111b4e0e8c80f,1,94475071013412139f862c0bd7e3bb37,955fee9216a65b617aa5c0531780ce60,89f02b0138f4585547efe6007692639f,delivered,-12.0,39.99,8.72,48.71,stationery,6776.0,4.0,,muito bom,negative,-0.9802194237709045,"customer service, product quality, price/value",customer service,high,True,Review indicates unmet expectations," muito bom bom bom, bom bom. muitor. bom. bom ."
2ae6d828f4cf351ecb662a1f2c30aa93,1,2a27bdf5d36c733df107a86e44370254,382229d1e840115ffe3dbf5ff460e417,f1a9c96003c11814dc06fbe8f0ceed08,delivered,7.0,49.9,37.04,86.94,health_beauty,3240.0,5.0,recomendo,"apesar da paralisação dos caminhoneiros no final de maio, o produto chegou no final do prazo sugerido no sistema. foram bem atenciosos no sistema de sac quando perguntei com relação ao envio.",negative,-0.9902712106704712,"delivery delay, damaged product, customer service",delivery delay,high,True,Delivery delay: 7 days, O produto chegou no final do prazo sugerido no sistema. apesar da paralisação dos caminhoneiros .
7a2caaaf6f039835babfdf9aea003412,1,4de0f4caa802cd42528a25232c915283,1284de4ae8aa26997e748c851557cf0e,67791ff8866a89d326226f73fa8eec51,delivered,-6.0,749.99,39.05,789.04,watches_gifts,3240.0,2.0,,"estou insatisfeito com a compra, poque depois de feito, as lannister, saiu da negociacão,|transferindo tudo p a targaryen, que trazia informacões desencontradas, e não encaminhou a nota fiscal de venda.i",negative,-0.9843966364860535,"missing parts, customer service, product quality",missing parts,medium,True,Review indicates unmet expectations," A targaryen, que trazia informacões desencontradradas, não encaminhou a nota fiscal de venda . estou ins"
a4ee9df6b5f93107253c0a18145b1e51,1,9e261f5543c32312afa68843fabcc119,a5cba26a62b8b4d0145b68b841e62e7f,3f0c330a3f0a8a77a3faf9faae9e795f,delivered,-15.0,530.0,24.1,554.1,pet_shop,34776.0,3.0,,muito bom,negative,-0.9802194237709045,"customer service, product quality, price/value",customer service,high,True,Review indicates unmet expectations," muito bom bom bom, bom bom. muitor. bom. bom ."
63a1e75d65a3dcb40d5f452a248e9680,1,84f456958365164420cfc80fbe4c7fab,4a3ca9315b744ce9f8e9374361493884,9f3ba8ca881a4d8641dae98f8bb8ee7e,delivered,-7.0,84.9,14.9,99.8,bed_bath_table,20944.0,5.0,,produto com boa qualidade e entregue antes do prazo.,negative,-0.9551739692687988,"product quality, customer service, packaging",product quality,high,True,Review indicates unmet expectations, produto com boa qualidade e entregue antes do prazo do pazo .
4c480567d1db63cffddc552638c35d8f,1,64fb265487de2238627ce43fe8a67efc,4a3ca9315b744ce9f8e9374361493884,9b74cd824a37742f10285243d2c0ad7f,delivered,-12.0,79.9,10.29,90.19,bed_bath_table,20944.0,2.0,,"na nota veio descrito 4 produto sendo que quando abri veio 3, espero que esteja a caminho",negative,-0.9779047966003418,"delivery delay, product quality, missing parts",delivery delay,medium,True,Review indicates unmet expectations," na nota veio descrito descrito 4 produto sendo que quando abri veio 3, espero que he ispero that he is on a c"
061e6ce7ec63fcace40d4ae11584763c,1,7977b70dccf5fb91ef5787ea38c36c45,2d2c62bef4c8ba0dd74e0e228e808539,3b249b017d15eee7d092ddd5cfae4fa4,delivered,-20.0,210.0,18.38,228.38,cool_stuff,18750.0,5.0,,mto satisfeito com os serviços obrigado,negative,-0.9909629225730896,"customer service, product quality, refund/return",customer service,medium,True,Review indicates unmet expectations, O. mto satisfeito com os serviços obrigado .
0ce3dcca0c123ec98cc73a514f7e9922,1,bb5fc9090888f494938ab2b3c90dda7a,b561927807645834b59ef0d16ba55a24,a04cf226c7a48fb4e95019bded0ea863,delivered,-16.0,21.2,19.06,40.26,stationery,1056.0,5.0,rapidez,entrega antecipada e produto bem guardado.,negative,-0.619104266166687,"product quality, refund/return, customer service",product quality,medium,True,Review indicates unmet expectations, Entrega antecipada e produto bem guardado . entrega de produto entregada de más thanco .
c8c07db73aea73f15237a4eb11867551,1,4aa6014eceb682077f9dc4bffebc05b0,b8bc237ba3788b23da09c0f1f3a3288c,b177b85f1efece7e6e46386b9e86699d,delivered,-11.0,252.0,46.22,298.22,housewares,53400.0,5.0,,"continuo comprado com o 
stark",negative,-0.768768846988678,"damaged product, price/value, product quality",damaged product,high,True,Review indicates unmet expectations, O.S. continuo com o stark contrasto com a stark contrast to the reality of the world .
f9dba21dfbb520ed911cebc91688195e,1,19c91ef95d509ea33eda93495c4d3481,06a2c3af7b3aee5d69171b0e14f0ee87,66f5f0aa56c7ad916e7292066fde6c06,delivered,-12.0,114.99,29.83,144.82,health_beauty,5700.0,5.0,1000000,muito bom,negative,-0.9802194237709045,"customer service, product quality, price/value",customer service,high,True,Review indicates unmet expectations," muito bom bom bom, bom bom. muitor. bom. bom ."
